RA,DEC
123.596,3.608
123.904,3.817
133.982,4.832
143.662,5.696
150.017,6.205
151.182,6.431
158.473,6.868
164.164,7.122
126.529,4.456
146.386,6.389
157.622,7.187
165.736,7.604
166.812,7.555
151.508,7.191
152.146,7.156
174.723,58.565
154.148,55.46
160.426,57.464
162.888,57.977
166.446,58.457
173.928,59.331
174.551,59.481
167.068,59.055
170.648,59.585
174.594,59.88
172.573,60.254
171.398,60.403
177.711,58.764
182.758,59.118
197.657,58.419
200.172,58.048
191.79,59.317
197.657,59.266
177.861,60.217
182.69,60.27
205.431,58.75
198.702,60.09
149.454,5.112
150.616,5.253
176.148,6.43
131.702,4.048
162.547,6.377
162.748,6.439
146.423,5.676
152.679,6.199
155.492,6.372
160.97,6.757
135.434,5.211
140.177,5.737
144.802,6.16
162.931,7.293
165.13,7.271
153.886,7.082
161.978,7.646
175.637,8.138
183.054,8.813
190.003,8.82
149.024,7.317
149.021,7.318
153.168,7.722
156.365,8.124
159.249,8.234
159.255,8.356
169.302,8.924
175.619,9.198
187.038,9.175
139.238,6.795
141.754,6.977
149.578,7.791
154.582,8.35
155.565,8.376
171.035,9.346
192.764,9.491
145.224,7.74
150.652,8.38
155.33,8.899
155.764,8.884
173.032,9.81
176.24,10.007
176.559,10.003
177.203,9.996
177.205,9.995
129.483,6.281
129.52,6.227
132.515,6.625
141.444,7.722
142.801,8.02
142.8,8.019
145.782,8.312
175.58,10.453
185.741,10.549
190.898,10.475
164.672,10.321
173.224,10.67
177.581,10.834
175.16,53.366
194.488,53.525
196.325,53.242
199.205,53.008
169.744,53.241
163.49,52.805
188.707,54.697
190.95,54.896
190.94,54.892
196.864,54.447
200.842,54.069
209.276,52.594
162.915,53.511
191.263,55.269
199.218,54.623
208.773,53.218
181.137,55.804
186.57,56.001
192.228,53.793
192.189,55.039
210.226,51.041
241.427,37.177
244.494,34.91
244.494,34.911
245.516,34.07
204.269,53.213
236.187,41.42
240.831,38.254
241.21,38.063
246.697,33.775
252.157,28.565
248.798,32.284
234.76,43.321
243.726,37.187
246.994,34.542
248.276,33.622
250.704,31.116
233.696,44.49
245.359,36.442
211.2,50.935
216.81,49.526
213.917,50.714
224.017,47.393
234.626,42.206
242.483,36.721
202.018,53.708
212.18,51.747
225.319,47.407
232.336,43.923
239.07,39.861
206.514,53.435
222.235,49.086
207.583,53.58
209.158,53.237
218.664,50.79
238.719,41.268
221.754,50.122
206.445,57.353
208.564,58.691
211.306,58.236
217.182,55.347
230.509,50.174
230.281,50.672
231.757,50.113
220.208,55.464
226.178,53.028
229.783,52.101
251.016,30.005
248.537,32.87
257.481,23.744
259.045,21.915
249.278,32.9
249.279,32.899
229.092,47.476
247.83,34.423
242.387,39.863
235.888,44.788
249.701,34.139
249.725,34.084
240.436,42.46
240.412,42.469
240.773,42.086
237.23,45.059
222.929,52.689
207.443,57.395
244.058,40.841
254.279,30.736
236.649,46.844
239.802,44.716
246.273,39.764
246.895,39.102
250.816,35.161
252.65,33.048
211.562,57.418
213.142,57.178
213.743,57.048
244.577,41.578
247.156,39.447
252.309,34.419
252.309,34.42
209.003,58.53
225.691,53.512
232.589,50.475
237.175,47.756
247.395,39.982
247.609,39.829
247.609,39.83
251.194,36.303
218.378,56.612
240.725,43.325
244.462,40.144
244.464,40.143
255.209,29.258
255.899,28.371
251.762,33.699
251.965,33.53
252.097,33.606
257.013,27.532
257.221,27.498
257.221,27.499
259.171,24.608
239.405,45.522
242.847,42.724
244.507,41.324
256.993,28.199
236.547,47.952
244.046,42.4
243.328,43.623
330.47,-1.172
335.505,-0.731
335.993,-0.823
336.836,-0.679
344.849,-0.783
331.646,0.056
331.646,0.058
335.8,0.071
343.73,0.065
336.317,0.619
337.962,0.562
340.715,0.874
342.01,0.912
147.598,40.093
119.088,23.678
126.978,29.552
143.46,38.846
146.6,40.262
135.112,35.312
138.612,37.165
146.708,41.058
154.169,43.672
154.147,43.751
141.504,39.424
138.845,6.929
138.488,7.331
132.167,6.742
141.676,7.974
115.561,20.334
114.404,19.672
114.407,19.671
117.669,22.771
116.422,22.071
147.089,7.023
147.479,7.022
152.423,7.443
148.293,7.874
153.486,8.44
153.486,8.439
149.086,8.966
165.402,8.526
186.623,9.019
186.62,9.022
179.216,9.466
182.162,9.534
165.343,9.307
172.104,9.687
165.08,10.047
165.072,10.047
166.421,10.271
176.548,10.596
179.543,10.686
184.712,10.667
165.239,10.505
181.796,11.142
142.812,8.577
145.857,9.009
146.723,9.087
147.093,9.251
160.552,10.632
160.553,10.635
161.505,10.813
140.912,8.821
141.633,8.832
145.723,9.495
147.677,9.585
148.011,9.673
164.328,11.502
151.561,10.652
152.389,10.683
134.526,8.653
148.954,11.047
160.706,12.473
160.706,12.474
163.033,12.547
137.333,33.121
113.347,16.929
115.115,18.524
122.845,24.551
123.531,25.246
125.674,26.722
131.434,30.327
140.991,35.481
144.869,37.157
144.867,37.156
114.68,18.693
120.911,23.865
123.125,25.412
125.134,26.78
125.132,26.781
126.157,27.433
139.829,35.744
141.587,36.99
114.139,17.536
113.222,16.744
147.544,37.497
148.578,37.788
149.36,38.162
147.417,38.338
126.941,28.236
126.941,28.238
125.978,28.103
125.979,28.108
121.449,5.082
145.47,9.231
146.951,9.428
150.587,9.799
121.643,5.61
126.445,6.392
128.222,6.721
130.286,7.114
137.504,8.376
140.499,8.915
146.423,9.656
146.431,9.817
130.905,7.654
148.48,10.411
129.508,7.893
133.488,8.795
133.681,8.784
146.663,11.205
147.907,11.274
149.657,11.535
149.602,11.587
159.845,12.991
190.027,14.2
190.713,14.289
119.447,5.928
124.892,7.242
129.98,8.424
161.359,13.445
171.483,14.368
126.513,8.147
128.06,8.348
144.54,11.547
148.452,12.23
168.4,14.403
172.023,14.672
181.195,15.023
188.189,15.067
133.236,9.866
152.015,13.165
140.534,11.742
155.047,14.096
170.161,15.539
170.16,15.538
186.773,15.882
209.787,46.021
198.599,48.544
191.585,49.456
195.757,49.554
202.026,48.796
202.81,48.741
209.948,47.402
188.608,50.068
188.611,50.068
188.611,50.069
194.686,50.473
194.689,50.471
197.353,50.359
210.464,48.061
210.462,48.059
213.111,45.69
213.125,45.693
215.04,45.144
230.886,38.739
229.946,39.76
215.222,45.909
227.197,41.572
224.757,43.186
227.386,42.03
233.975,38.675
229.097,41.64
146.042,34.664
151.663,36.654
140.469,32.825
139.976,32.934
149.338,36.877
147.816,36.675
145.784,36.402
156.133,39.738
208.46,54.129
197.87,56.249
218.265,52.062
224.764,49.779
252.844,29.756
195.225,56.98
197.706,56.649
205.422,55.672
205.417,55.677
205.432,55.674
223.18,50.911
223.178,50.911
232.446,46.494
235.254,45.038
245.632,37.354
252.079,31.439
212.61,54.61
220.149,52.414
227.567,49.42
249.498,34.579
250.932,33.021
251.795,32.122
198.27,57.635
240.45,42.79
248.104,36.563
206.885,56.794
212.003,55.729
220.255,53.336
251.964,33.53
195.322,55.996
196.564,55.762
221.228,50.385
173.184,56.178
187.965,56.671
195.467,56.361
202.975,55.331
177.158,56.948
187.001,57.091
211.046,54.423
221.223,51.341
222.208,51.019
198.16,56.851
198.159,56.852
173.128,57.52
201.607,56.898
224.042,51.154
214.05,54.888
222.203,52.523
246.544,26.889
225.742,39.35
225.741,39.35
254.007,21.216
256.034,19.361
231.435,37.833
206.215,10.583
209.099,10.774
216.03,10.083
216.09,9.977
